Title,Descriptions,Release,Directors,Rating,Durations,Votes,Genres,Stars
Baby Driver,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",2017,Edgar Wright,7.6,113,"504,848","Action, Crime, Drama","Ansel Elgort, Jon Bernthal, Jon Hamm, Eiza González"
Wrath of Man,"The plot follows H, a cold and mysterious character working at a cash truck company responsible for moving hundreds of millions of dollars around Los Angeles each week.",2021,Guy Ritchie,7.1,119,"153,814","Action, Crime, Thriller","Jason Statham, Holt McCallany, Josh Hartnett, Rocci Williams"
Batgirl,"Based upon the popular DC character, Barbara Gordon dons the guise of Batgirl to fight crime.",2022,"Adil El Arbi, Bilall Fallah",,,,"Action, Adventure, Crime","Leslie Grace, J.K. Simmons, Michael Keaton, Brendan Fraser"
The Many Saints of Newark,"Witness the making of Tony Soprano. The story that reveals the humanity behind Tony's struggles and the influence his family - especially his uncle, Dickie Moltisanti - had over him becoming the most iconic mob boss of all time.",2021,Alan Taylor,6.3,120,"46,214","Crime, Drama","Alessandro Nivola, Leslie Odom Jr., Jon Bernthal, Vera Farmiga"
Menetetty maa,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,2007,"Ethan Coen, Joel Coen",8.2,122,"932,921","Crime, Drama, Thriller","Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson"
Cruella,A live-action prequel feature film following a young Cruella de Vil.,2021,Craig Gillespie,7.4,134,"214,613","Adventure, Comedy, Crime","Emma Stone, Emma Thompson, Joel Fry, Paul Walter Hauser"
Hiomattomat timantit,"With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hope of staying afloat and alive.",2019,"Benny Safdie, Josh Safdie",7.4,135,"261,581","Crime, Drama, Thriller","Adam Sandler, Julia Fox, Idina Menzel, Mesfin Lamengo"
Uhrilampaat,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",1991,Jonathan Demme,8.6,118,"1,374","Crime, Drama, Thriller","Jodie Foster, Anthony Hopkins, Lawrence A. Bonney, Kasi Lemmons"
Leon,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",1994,Luc Besson,8.6,110,"1,117","Action, Crime, Drama","Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello"
Kummisetä osa II,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",1974,Francis Ford Coppola,9.0,202,"1,220","Crime, Drama","Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton"
The Batman,"When the Riddler, a sadistic serial killer, begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",2022,Matt Reeves,8.4,176,"251,525","Action, Crime, Drama","Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell"
West Side Story,"An adaptation of the 1957 musical, West Side Story explores forbidden love and the rivalry between the Jets and the Sharks, two teenage street gangs of different ethnic backgrounds.",2021,Steven Spielberg,7.4,156,"52,704","Crime, Drama, Musical","Ansel Elgort, Rachel Zegler, Ariana DeBose, David Alvarez"
The Weekend Away,"A weekend getaway to Croatia that goes awry when a woman is accused of killing her best friend. As she attempts to clear her name and uncover the truth, her efforts unearth a painful secret.",2022,Kim Farrant,5.6,89,"13,644","Crime, Drama, Mystery","Leighton Meester, Christina Wolfe, Ziad Bakri, Luke Norris"
Yön ritari,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",2008,Christopher Nolan,9.1,152,"2,522","Action, Crime, Drama","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine"
Nightmare Alley,An ambitious carny with a talent for manipulating people with a few well-chosen words hooks up with a female psychologist who is even more dangerous than he is.,2021,Guillermo del Toro,7.1,150,"85,126","Crime, Drama, Thriller","Bradley Cooper, Cate Blanchett, Toni Collette, Willem Dafoe"
Kuolema Niilillä,"While on vacation on the Nile, Hercule Poirot must investigate the murder of a young heiress.",2022,Kenneth Branagh,6.6,127,"30,817","Crime, Drama, Mystery","Tom Bateman, Annette Bening, Kenneth Branagh, Russell Brand"
Batman Begins,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",2005,Christopher Nolan,8.3,140,"1,409","Action, Crime, Drama","Christian Bale, Michael Caine, Ken Watanabe, Liam Neeson"
House of Gucci,"When Patrizia Reggiani, an outsider from humble beginnings, marries into the Gucci family, her unbridled ambition begins to unravel their legacy and triggers a reckless spiral of betrayal, decadence, revenge, and ultimately...murder.",2021,Ridley Scott,6.7,158,"89,112","Crime, Drama","Lady Gaga, Adam Driver, Al Pacino, Jeremy Irons"
Yön ritarin paluu,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",2012,Christopher Nolan,8.4,164,"1,633","Action, Crime, Drama","Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman"
West Side Story,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",1961,"Jerome Robbins, Robert Wise",7.6,153,"110,749","Crime, Drama, Musical","Natalie Wood, George Chakiris, Richard Beymer, Russ Tamblyn"
Fast & Furious 9,Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.,2021,Justin Lin,5.2,143,"117,729","Action, Crime, Thriller","Vin Diesel, Michelle Rodriguez, Jordana Brewster, Tyrese Gibson"
Texas Chainsaw Massacre,"After nearly 50 years of hiding, Leatherface returns to terrorize a group of idealistic young friends who accidentally disrupt his carefully shielded world in a remote Texas town.",2022,David Blue Garcia,4.8,83,"40,857","Crime, Horror, Thriller","Sarah Yarkin, Elsie Fisher, Mark Burnham, Jacob Latimore"
Joker,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",2019,Todd Phillips,8.4,122,"1,163","Crime, Drama, Thriller","Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy"
DC Superlemmikkien liiga,"Krypto the Super-Dog and Superman are inseparable best friends, sharing the same superpowers and fighting crime side by side in Metropolis. However, Krypto must master his own powers for a rescue mission when Superman is kidnapped.",2022,"Jared Stern, Sam Levine",,,,"Animation, Action, Adventure","Dwayne Johnson, Kevin Hart, Vanessa Bayer, Natasha Lyonne"
Kummisetä,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,1972,Francis Ford Coppola,9.2,175,"1,763","Crime, Drama","Marlon Brando, Al Pacino, James Caan, Diane Keaton"
Batman - paluu,"While Batman deals with a deformed man calling himself the Penguin wreaking havoc across Gotham with the help of a cruel businessman, a female employee of the latter becomes the Catwoman with her own vendetta.",1992,Tim Burton,7.1,126,"296,123","Action, Crime, Fantasy","Michael Keaton, Danny DeVito, Michelle Pfeiffer, Christopher Walken"
